"pointid","grid_code","PRESENCE","Longitude","Latitude"
"279","1","1",179.055064663946,-16.403229751702
"280","1","1",179.065064663946,-16.403229751702
"281","1","1",179.075064663946,-16.403229751702
"282","1","1",178.955064663946,-16.413229751702
"283","1","1",178.965064663946,-16.413229751702
"284","1","1",178.975064663946,-16.413229751702
"285","1","1",178.985064663946,-16.413229751702
"286","1","1",179.035064663946,-16.413229751702
"287","1","1",179.085064663946,-16.413229751702
"288","1","1",179.115064663946,-16.413229751702
"289","1","1",179.165064663946,-16.413229751702
"290","1","1",179.755064663946,-16.413229751702
"291","1","1",179.765064663946,-16.413229751702
"292","1","1",178.885064663946,-16.423229751702
"293","1","1",178.895064663946,-16.423229751702
"294","1","1",178.985064663946,-16.423229751702
"295","1","1",178.995064663946,-16.423229751702
"296","1","1",179.005064663946,-16.423229751702
"297","1","1",179.015064663946,-16.423229751702
"298","1","1",179.035064663946,-16.423229751702
"299","1","1",179.075064663946,-16.423229751702
"300","1","1",179.755064663946,-16.423229751702
"301","1","1",-179.924935336054,-16.433229751702
"302","1","1",-179.914935336054,-16.433229751702
"303","1","1",-179.904935336054,-16.433229751702
"304","1","1",-179.894935336054,-16.433229751702
"305","1","1",-179.854935336054,-16.433229751702
"306","1","1",178.855064663946,-16.433229751702
"307","1","1",178.875064663946,-16.433229751702
"308","1","1",178.935064663946,-16.433229751702
"309","1","1",178.945064663946,-16.433229751702
"310","1","1",178.995064663946,-16.433229751702
"311","1","1",179.005064663946,-16.433229751702
"312","1","1",-179.964935336054,-16.443229751702
"313","1","1",-179.934935336054,-16.443229751702
"314","1","1",-179.904935336054,-16.443229751702
"315","1","1",-179.884935336054,-16.443229751702
"316","1","1",-179.874935336054,-16.443229751702
"317","1","1",178.925064663946,-16.443229751702
"318","1","1",178.955064663946,-16.443229751702
"319","1","1",179.025064663946,-16.443229751702
"320","1","1",179.745064663946,-16.443229751702
"321","1","1",179.925064663946,-16.443229751702
"322","1","1",-179.654935336054,-16.453229751702
"323","1","1",178.925064663946,-16.453229751702
"324","1","1",179.935064663946,-16.453229751702
"325","1","1",179.945064663946,-16.453229751702
"326","1","1",-179.984935336054,-16.463229751702
"327","1","1",-179.664935336054,-16.463229751702
"328","1","1",179.735064663946,-16.463229751702
