"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Dist_City","Protected_Areas"
0,178.625,-19.9583333333333,3440,34.6832656860352,1.56568896770477,1.57550871372223,0.00981978140771389,0.0263833943754435,-3104,0.189999997615814,-0.810000002384186,-3249,103,0.490000009536743,203693.474307541,0
0,178.708333333333,-19.9583333333333,3441,34.6779937744141,1.58259522914886,1.59445905685425,0.0118637848645449,0.0226499661803246,-3032,0.109999999403954,-0.230000004172325,-3100,106,0.819999992847443,204635.636380102,0
0,178.791666666667,-19.9583333333333,3442,34.6786575317383,1.58210825920105,1.5944060087204,0.0122978184372187,0.0183851197361946,-3069,0.0799999982118607,0.529999971389771,-3115,109,0.509999990463257,205947.407599826,0
0,178.875,-19.9583333333333,3443,34.6789512634277,1.58210825920105,1.5944060087204,0.0122978342697024,0.0185892973095179,-3087,0.0700000002980232,-0.159999996423721,-3135,113,0.25,207621.803569499,0
0,178.958333333333,-19.9583333333333,3444,34.6792831420898,1.58221006393433,1.59458792209625,0.0123777920380235,0.0288145467638969,-3077,0.0399999991059303,0.490000009536743,-3135,117,0.340000003576279,209650.121148219,0
0,179.041666666667,-19.9583333333333,3445,34.6836357116699,1.5717921257019,1.5841658115387,0.0123735871165991,0.0274687074124813,-3061,0.129999995231628,0.0299999993294477,-3155,117,-0.319999992847443,212022.20407493,0
0,179.125,-19.9583333333333,3446,34.6836357116699,1.57174944877625,1.58390235900879,0.0121528850868344,0.0267639923840761,-3059,0.180000007152557,-0.370000004768372,-3223,111,-0.5,214726.677342138,0
0,179.208333333333,-19.9583333333333,3447,34.6811332702637,1.58182394504547,1.59486305713654,0.013039069250226,0.0309229344129562,-3062,0.0799999982118607,0.419999986886978,-3143,105,-0.720000028610229,217751.119074364,0
0,179.291666666667,-19.9583333333333,3448,34.6837120056152,1.57125544548035,1.5832062959671,0.0119508160278201,0.0229637864977121,-3151,0.129999995231628,0.660000026226044,-3227,100,-0.589999973773956,221082.435521924,0
0,179.375,-19.9583333333333,3449,34.6837120056152,1.57069110870361,1.58254110813141,0.0118499333038926,0.027354883030057,-3232,0.0700000002980232,0.00999999977648258,-3341,96,-0.579999983310699,224706.939192259,0
0,179.458333333333,-19.9583333333333,3450,34.6838226318359,1.57049965858459,1.58213317394257,0.0116335768252611,0.038509801030159,-3251,0.0599999986588955,-0.300000011920929,-3315,92,-0.239999994635582,228610.723842129,0
0,179.541666666667,-19.9583333333333,3451,34.6839332580566,1.57040500640869,1.58218944072723,0.0117844864726067,0.0364550314843655,-3257,0.0399999991059303,-0.219999998807907,-3299,89,0.740000009536743,232779.72698229,0
0,179.625,-19.9583333333333,3452,34.6839332580566,1.57046759128571,1.5821293592453,0.011661765165627,0.0261401850730181,-3186,0.0700000002980232,-0.579999983310699,-3267,87,0.560000002384186,237199.948625607,0
0,179.708333333333,-19.9583333333333,3453,34.6839332580566,1.57050478458405,1.58212113380432,0.0116163110360503,0.0178560651838779,-3141,0.0900000035762787,-0.189999997615814,-3192,86,0.579999983310699,241857.607536241,0
0,179.791666666667,-19.9583333333333,3454,34.6839332580566,1.5701220035553,1.58141314983368,0.011291210539639,0.0207748133689165,-3044,0.150000005960464,0.0700000002980232,-3171,86,0.769999980926514,246739.297476875,0
0,179.875,-19.9583333333333,3455,34.6839332580566,1.56967878341675,1.58075094223022,0.01107217092067,0.0199634544551373,-3014,0.180000007152557,-0.209999993443489,-3155,87,0.270000010728836,251831.955963053,0
0,179.958333333333,-19.9583333333333,3456,34.6839332580566,1.56910741329193,1.58023571968079,0.0111283594742417,0.0212546344846487,-3051,0.170000001788139,0.589999973773956,-3179,88,0.189999997615814,257123.048541498,0
0,176.041666666667,-20.0416666666667,3457,34.668571472168,1.64847767353058,1.66954302787781,0.0210653226822615,0.0630999878048897,-2397,0.330000013113022,0.540000021457672,-2681,237,-0.340000003576279,331189.576432331,0
0,176.125,-20.0416666666667,3458,34.668571472168,1.65012729167938,1.6706006526947,0.0204733349382877,0.0650151744484901,-2546,0.239999994635582,-0.5,-2737,228,0.170000001788139,324504.578855869,0
0,176.208333333333,-20.0416666666667,3459,34.6685371398926,1.63948571681976,1.66028690338135,0.0208011288195848,0.056520439684391,-2507,0.439999997615814,0.0399999991059303,-2768,220,0.629999995231628,317920.925163978,0
0,176.291666666667,-20.0416666666667,3460,34.6686096191406,1.65345692634583,1.67965459823608,0.0261976569890976,0.0548313483595848,-2593,0.200000002980232,-0.310000002384186,-2704,212,-0.540000021457672,311445.021613633,0
0,176.375,-20.0416666666667,3461,34.6610450744629,1.66765320301056,1.71504426002502,0.0473910458385944,0.0535912178456783,-2366,0.109999999403954,-0.280000001192093,-2583,204,0.150000005960464,305083.711962282,0
0,176.458333333333,-20.0416666666667,3462,34.6685028076172,1.65456533432007,1.68018937110901,0.0256240535527468,0.0680997744202614,-2369,0.219999998807907,-0.219999998807907,-2581,196,0.740000009536743,298844.339966971,0
0,176.541666666667,-20.0416666666667,3463,34.6610412597656,1.66583228111267,1.71573388576508,0.0499015152454376,0.0248217862099409,-2132,0.25,0.109999999403954,-2437,188,0.389999985694885,292734.718133754,0
0,176.625,-20.0416666666667,3464,34.6610374450684,1.65385973453522,1.67860949039459,0.024749806150794,0.0286925733089447,-2321,0.180000007152557,0.100000001490116,-2493,180,0.879999995231628,286763.096471003,0
0,176.708333333333,-20.0416666666667,3465,34.6610336303711,1.65235471725464,1.67766857147217,0.0253138057887554,0.0532172173261642,-2311,0.180000007152557,0.370000004768372,-2564,173,0.759999990463257,280938.287484972,0
0,176.791666666667,-20.0416666666667,3466,34.6699028015137,1.61565554141998,1.63200557231903,0.0163499861955643,0.00971977505832911,-2388,0.230000004172325,0.610000014305115,-2710,165,0.660000026226044,275269.634932085,0
0,176.875,-20.0416666666667,3467,34.6706771850586,1.61339151859283,1.62963616847992,0.0162446349859238,0.0127188358455896,-2533,0.330000013113022,-0.0799999982118607,-2769,158,0.720000028610229,269766.982567621,0
0,176.958333333333,-20.0416666666667,3468,34.6715240478516,1.64695477485657,1.67334032058716,0.0263855718076229,0.0354478284716606,-1897,0.449999988079071,-0.899999976158142,-2411,151,0.409999996423721,264440.705395459,0
0,177.041666666667,-20.0416666666667,3469,34.6392974853516,1.79803001880646,1.92033183574677,0.122301861643791,0.0850459784269333,-1622,0.370000004768372,0.0500000007450581,-2029,144,0.879999995231628,259301.615922035,0
0,177.125,-20.0416666666667,3470,34.6610107421875,1.69958591461182,1.80022060871124,0.100634716451168,0.0426831655204296,-1662,0.409999996423721,0.409999996423721,-2320,138,0.860000014305115,254361.120398141,0
0,177.208333333333,-20.0416666666667,3471,34.6610107421875,1.79639339447021,1.9199343919754,0.123540990054607,0.0521884076297283,-1616,0.300000011920929,-0.439999997615814,-2343,132,0.759999990463257,249630.984450349,0
0,177.291666666667,-20.0416666666667,3472,34.6392211914062,1.93225204944611,2.07868576049805,0.146433815360069,0.0619583427906036,-1520,0.259999990463257,-0.0700000002980232,-2221,126,0.740000009536743,245123.395577581,0
