"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Protected_Areas"
0,149.625,-18.875,5108,34.5528259277344,6.70254755020142,7.54173183441162,0.83918422460556,0.265947490930557,-506,0.0900000035762787,0.200000002980232,-571,151,0.959999978542328,3.64514460701019
0,149.708333333333,-18.875,5109,34.4560317993164,6.02623271942139,6.75386190414429,0.727628886699677,0.273028016090393,-535,0.0700000002980232,0.340000003576279,-617,156,0.930000007152557,4
0,149.791666666667,-18.875,5110,34.4563484191895,6.05013036727905,6.76830101013184,0.718170464038849,0.282914280891418,-592,0.0599999986588955,-0.00999999977648258,-630,161,0.970000028610229,4
0,149.875,-18.875,5111,34.4567756652832,6.04487419128418,6.7469367980957,0.702062666416168,0.293581366539001,-605,0.0700000002980232,0.479999989271164,-661,167,0.860000014305115,4
0,149.958333333333,-18.875,5112,34.4419403076172,5.43358469009399,6.07367563247681,0.640090703964233,0.257039755582809,-643,0.0799999982118607,0.550000011920929,-730,173,0.819999992847443,4
0,146.291666666667,-18.9583333333333,5140,NA,NA,NA,NA,NA,NA,0.00999999977648258,0.970000028610229,-2,1,0.259999990463257,NA
0,146.375,-18.9583333333333,5141,35.0781326293945,21.4634189605713,29.6460838317871,8.18266487121582,0.203608304262161,25,0.00999999977648258,0.600000023841858,-5,4,0.620000004768372,3.55045274010744
0,146.458333333333,-18.9583333333333,5142,35.0781288146973,22.0189838409424,29.5468807220459,7.52789831161499,0.180579707026482,-1,0,0.600000023841858,-10,9,0.709999978542328,4.49835044078585
0,146.541666666667,-18.9583333333333,5143,35.1255302429199,22.0719146728516,29.5097885131836,7.43787384033203,0.191051691770554,-8,0.00999999977648258,0.389999985694885,-14,10,0.779999971389771,5
0,146.625,-18.9583333333333,5144,35.1463356018066,22.06178855896,29.4756603240967,7.41387224197388,0.190974488854408,10,0.0199999995529652,-0.0799999982118607,-12,9,0.259999990463257,5
0,146.708333333333,-18.9583333333333,5145,35.1322746276855,21.9499263763428,29.5012969970703,7.55137014389038,0.179510459303856,-15,0.00999999977648258,0.270000010728836,-18,14,0.519999980926514,4.07794342589916
0,146.791666666667,-18.9583333333333,5146,35.1276321411133,22.1789970397949,29.3062343597412,7.12723827362061,0.191976711153984,-18,0.00999999977648258,0.0500000007450581,-20,18,0.200000002980232,3.57800094837938
0,146.875,-18.9583333333333,5147,35.1155624389648,22.2591018676758,29.1809101104736,6.92180824279785,0.17527462542057,-21,0.0299999993294477,0.0199999995529652,-28,17,-0.0700000002980232,3.57800094837938
0,146.958333333333,-18.9583333333333,5148,35.1170082092285,22.3339462280273,29.1461963653564,6.8122501373291,0.174343571066856,-22,0.00999999977648258,0.5,-23,19,0.400000005960464,3.57800094837938
0,147.041666666667,-18.9583333333333,5149,35.117977142334,22.2498550415039,29.0539207458496,6.8040657043457,0.165010645985603,-23,0,0.349999994039536,-28,25,0.709999978542328,4.50233363140629
0,147.125,-18.9583333333333,5150,35.1182899475098,22.4291477203369,28.9825897216797,6.55344200134277,0.171929851174355,-27,0,0.189999997615814,-30,29,0.790000021457672,5
0,147.208333333333,-18.9583333333333,5151,35.1203575134277,22.3473491668701,28.8534984588623,6.50614833831787,0.189300030469894,-28,0,0.180000007152557,-31,34,0.670000016689301,5
0,147.291666666667,-18.9583333333333,5152,35.1199417114258,22.5211868286133,28.5925121307373,6.07132625579834,0.193000748753548,-30,0.00999999977648258,0.569999992847443,-34,39,0.589999973773956,5
0,147.375,-18.9583333333333,5153,35.1678352355957,22.5689392089844,28.4451637268066,5.87622356414795,0.20277450978756,-35,0.00999999977648258,0.259999990463257,-41,39,0.579999983310699,5
0,147.458333333333,-18.9583333333333,5154,35.167896270752,22.4685554504395,28.4970207214355,6.02846574783325,0.20353989303112,-38,0.00999999977648258,0.409999996423721,-44,39,0.610000014305115,5
0,147.541666666667,-18.9583333333333,5155,35.1695556640625,22.5570526123047,28.4480743408203,5.89102268218994,0.215683043003082,-41,0.00999999977648258,0.389999985694885,-47,42,0.720000028610229,5
0,147.625,-18.9583333333333,5156,35.1719398498535,22.857271194458,28.1087760925293,5.25150537490845,0.222365334630013,-46,0.0199999995529652,0.189999997615814,-51,46,-0.0500000007450581,5
0,147.708333333333,-18.9583333333333,5157,35.171947479248,22.9152317047119,27.8768901824951,4.96165895462036,0.202890902757645,-1,0.0599999986588955,-0.0199999995529652,-19,51,-0.25,5
0,147.791666666667,-18.9583333333333,5158,35.2611427307129,22.8801002502441,27.6629486083984,4.7828483581543,0.372634053230286,-1,0.0500000007450581,0.159999996423721,-45,58,-0.150000005960464,5
0,147.875,-18.9583333333333,5159,35.2630271911621,22.8723335266113,27.6687927246094,4.79645872116089,0.255550414323807,-6,0.0399999991059303,-0.280000001192093,-42,65,-0.560000002384186,5
0,147.958333333333,-18.9583333333333,5160,35.2632522583008,22.9189300537109,27.5669174194336,4.6479868888855,0.241961792111397,-3,0.0599999986588955,0.340000003576279,-41,72,-0.129999995231628,4.06940801742576
0,148.041666666667,-18.9583333333333,5161,35.2680244445801,22.9179706573486,27.5685386657715,4.65056800842285,0.197100132703781,-14,0.0500000007450581,-0.360000014305115,-45,80,0.239999994635582,4.50916195818469
0,148.125,-18.9583333333333,5162,35.2708511352539,22.9104995727539,27.5819664001465,4.6714653968811,0.241206094622612,-8,0.0399999991059303,0.319999992847443,-37,88,0.509999990463257,5
0,148.208333333333,-18.9583333333333,5163,35.2738037109375,22.9811534881592,27.0768985748291,4.09574413299561,0.35960665345192,-37,0.0299999993294477,-0.189999997615814,-55,94,-0.409999996423721,5
0,148.291666666667,-18.9583333333333,5164,35.2776069641113,22.9222450256348,27.5359668731689,4.6137228012085,0.369065910577774,-30,0.0500000007450581,0.0399999991059303,-44,99,0.0199999995529652,5
0,148.375,-18.9583333333333,5165,35.2785758972168,22.9907207489014,27.048978805542,4.05825853347778,0.409168392419815,-27,0.0599999986588955,-0.159999996423721,-37,104,0.219999998807907,3.03072206482614
0,148.458333333333,-18.9583333333333,5166,35.2820167541504,22.9273815155029,27.4946975708008,4.56731653213501,0.527109682559967,-25,0.0399999991059303,0.349999994039536,-43,110,0.300000011920929,3.03647226940322
0,148.541666666667,-18.9583333333333,5167,35.3967018127441,23.0113563537598,26.6555709838867,3.64421415328979,0.586819887161255,-40,0.0500000007450581,-0.00999999977648258,-59,114,0.189999997615814,4.51257612157405
0,148.625,-18.9583333333333,5168,35.6336402893066,19.7085781097412,21.6915073394775,1.98292851448059,0.141116991639137,-36,0.0799999982118607,-0.0599999986588955,-71,115,0.670000016689301,3.96226482467602
