"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","BO_bathymax","MS_bathy_5m","Protected_Areas"
0,146.541666666667,-13.375,319,34.687328338623,1.71211075782776,1.73794960975647,0.025838939473033,0.0702149122953415,0.129999995231628,-0.759999990463257,186,-0.259999990463257,-2536,-2711,4
0,146.625,-13.375,320,34.6873245239258,1.75065100193024,1.78960371017456,0.0389526560902596,0.0722843930125237,0.0900000035762787,-0.360000014305115,192,-0.170000001788139,-2469,-2640,4
0,146.708333333333,-13.375,321,34.6867713928223,1.74969983100891,1.78979563713074,0.0400958172976971,0.0983571335673332,0.119999997317791,-0.629999995231628,199,-0.540000021457672,-2450,-2542,4
0,146.791666666667,-13.375,322,34.6865501403809,1.79260575771332,1.85011696815491,0.0575111657381058,0.110703818500042,0.129999995231628,-0.689999997615814,205,-0.119999997317791,-2374,-2367,4
0,146.875,-13.375,323,34.6861419677734,1.79263556003571,1.8507285118103,0.0580929666757584,0.116290606558323,0.0900000035762787,0.28999999165535,212,0.600000023841858,-2345,-2344,4
0,146.958333333333,-13.375,324,34.6855850219727,1.79231417179108,1.85146939754486,0.0591552443802357,0.140974178910255,0.150000005960464,-0.00999999977648258,219,0.910000026226044,-2345,-2344,4
0,147.041666666667,-13.375,325,34.6855850219727,1.74775791168213,1.79016757011414,0.0424096509814262,0.152885600924492,0.170000001788139,0.75,226,0.600000023841858,-2390,-2490,4
0,147.125,-13.375,326,34.7083129882812,1.71142911911011,1.74330508708954,0.0318758897483349,0.128024637699127,0.159999996423721,0.550000011920929,234,0.620000004768372,-2496,-2660,4
0,147.208333333333,-13.375,327,34.7081260681152,1.68994235992432,1.71503174304962,0.0250894352793694,0.145871058106422,0.150000005960464,0.0700000002980232,241,0.910000026226044,-2639,-2767,4
0,147.291666666667,-13.375,328,34.7079048156738,1.65982449054718,1.68978226184845,0.0299577657133341,0.145298525691032,0.180000007152557,0.709999978542328,248,0.649999976158142,-2643,-2876,4
